"Name","Measurement 1","Units 1","Qty","Units","SKU","Description","Cost Each","Cost Total","Markup %","Markup Each","Markup Total","Price Each","Price Total","Created By","Created At","Updated By","Updated At","Layer"
"    Glass Doors, per Door +Glass","","","4.00","EA","","","117.00","468.00","","","0.00","117.00","468.00","Evan Ramsey","4/14/2026 8:46:09 AM","Evan Ramsey","4/14/2026 8:46:09 AM","Default"
"  Light Valence","9.83","FT","9.83","","","","13.00","127.83","","0.00","0.00","13.00","127.83","Evan Ramsey","4/14/2026 8:45:36 AM","Evan Ramsey","4/14/2026 9:29:05 AM","Default"
"    Light Valence","","","9.83","LF","","","13.00","127.83","","","0.00","13.00","127.83","Evan Ramsey","4/14/2026 8:45:36 AM","Evan Ramsey","4/14/2026 8:45:36 AM","Default"
"  Uppers w/Doors, 32""-38""h","12.76","FT","12.76","","","","135.00","1722.01","","0.00","0.00","135.00","1722.01","Evan Ramsey","4/14/2026 8:45:36 AM","Evan Ramsey","4/14/2026 9:29:05 AM","Default"
"    Uppers w/Doors, 32""-38""h","","","12.76","LF","","","135.00","1722.01","","","0.00","135.00","1722.01","Evan Ramsey","4/14/2026 8:45:36 AM","Evan Ramsey","4/14/2026 8:45:36 AM","Default"
"  Finished End @ Upper Cabinet","2","EA","2.00","","","","48.00","96.00","","0.00","0.00","48.00","96.00","Evan Ramsey","4/14/2026 8:45:36 AM","Evan Ramsey","4/14/2026 9:29:05 AM","Default"
"    Finished End @ Upper Cabinet","","","2.00","EA","","","48.00","96.00","","","0.00","48.00","96.00","Evan Ramsey","4/14/2026 8:45:36 AM","Evan Ramsey","4/14/2026 8:45:36 AM","Default"
"  C-Top w/4"" Splash, 25.5""-33""d","14.00","FT","14.00","","","","55.00","770.00","","0.00","0.00","55.00","770.00","Evan Ramsey","4/14/2026 8:45:36 AM","Evan Ramsey","4/14/2026 9:29:00 AM","Default"
"    C-Top w/4"" Splash, 25.5""-33""d","","","14.00","LF","","","55.00","770.00","","","0.00","55.00","770.00","Evan Ramsey","4/14/2026 8:45:36 AM","Evan Ramsey","4/14/2026 8:45:36 AM","Default"
"Storage 115","79.44","","79.44","","","","","1684.47","","","0.00","","1684.47","Evan Ramsey","4/14/2026 8:53:34 AM","Evan Ramsey","4/14/2026 8:53:38 AM","Default"
"  KV #87, Hvy Dty Standards","6","EA","6.00","","","","37.00","222.00","","0.00","0.00","37.00","222.00","Evan Ramsey","4/14/2026 8:53:56 AM","Evan Ramsey","4/14/2026 8:53:56 AM","Default"
"    KV #87, Hvy Dty Standards","","","6.00","EA","","","37.00","222.00","","","0.00","37.00","222.00","Evan Ramsey","4/14/2026 8:53:56 AM","Evan Ramsey","4/14/2026 8:53:56 AM","Default"
"  Shelf, 12""+ to 18""w, Plam","43.44","FT","43.44","","","","24.00","1042.47","","0.00","0.00","24.00","1042.47","Evan Ramsey","4/14/2026 8:53:56 AM","Evan Ramsey","4/14/2026 8:53:56 AM","Default"
"    Shelf, 12""+ to 18""w, Plam","","","43.44","LF","","","24.00","1042.47","","","0.00","24.00","1042.47","Evan Ramsey","4/14/2026 8:53:56 AM","Evan Ramsey","4/14/2026 8:53:56 AM","Default"
"  KV Brackets","30","EA","30.00","","","","14.00","420.00","","0.00","0.00","14.00","420.00","Evan Ramsey","4/14/2026 8:53:56 AM","Evan Ramsey","4/14/2026 8:53:56 AM","Default"
"    KV Brackets","","","30.00","EA","","","14.00","420.00","","","0.00","14.00","420.00","Evan Ramsey","4/14/2026 8:53:56 AM","Evan Ramsey","4/14/2026 8:53:56 AM","Default"
"Storage 113","118.49","","118.49","","","","","2584.88","","","0.00","","2584.88","Evan Ramsey","4/14/2026 8:55:48 AM","Evan Ramsey","4/14/2026 9:01:41 AM","Default"
"  KV #87, Hvy Dty Standards","7","EA","7.00","","","","37.00","259.00","","0.00","0.00","37.00","259.00","Evan Ramsey","4/14/2026 8:56:10 AM","Evan Ramsey","4/14/2026 8:56:10 AM","Default"
"    KV #87, Hvy Dty Standards","","","7.00","EA","","","37.00","259.00","","","0.00","37.00","259.00","Evan Ramsey","4/14/2026 8:56:10 AM","Evan Ramsey","4/14/2026 8:56:10 AM","Default"
"  Shelf, 12""+ to 18""w, Plam","76.49","FT","76.49","","","","24.00","1835.88","","0.00","0.00","24.00","1835.88","Evan Ramsey","4/14/2026 8:56:10 AM","Evan Ramsey","4/14/2026 8:56:10 AM","Default"
"    Shelf, 12""+ to 18""w, Plam","","","76.49","LF","","","24.00","1835.88","","","0.00","24.00","1835.88","Evan Ramsey","4/14/2026 8:56:10 AM","Evan Ramsey","4/14/2026 8:56:10 AM","Default"
"  KV Brackets","35","EA","35.00","","","","14.00","490.00","","0.00","0.00","14.00","490.00","Evan Ramsey","4/14/2026 8:56:10 AM","Evan Ramsey","4/14/2026 8:56:10 AM","Default"
"    KV Brackets","","","35.00","EA","","","14.00","490.00","","","0.00","14.00","490.00","Evan Ramsey","4/14/2026 8:56:10 AM","Evan Ramsey","4/14/2026 8:56:10 AM","Default"
"Storage 125","204.20","","204.20","","","","","4579.92","","","0.00","","4579.92","Evan Ramsey","4/14/2026 8:48:36 AM","Evan Ramsey","4/14/2026 8:48:36 AM","Default"
"  KV #87, Hvy Dty Standards","13","EA","13.00","","","","37.00","481.00","","0.00","0.00","37.00","481.00","Evan Ramsey","4/14/2026 8:48:59 AM","Evan Ramsey","4/14/2026 9:32:01 AM","Default"
"    KV #87, Hvy Dty Standards","","","13.00","EA","","","37.00","481.00","","","0.00","37.00","481.00","Evan Ramsey","4/14/2026 8:48:59 AM","Evan Ramsey","4/14/2026 8:48:59 AM","Default"
"  Shelf, 12""+ to 18""w, Plam","142.20","FT","142.20","","","","24.00","3412.92","","0.00","0.00","24.00","3412.92","Evan Ramsey","4/14/2026 8:48:59 AM","Evan Ramsey","4/14/2026 9:32:01 AM","Default"
"    Shelf, 12""+ to 18""w, Plam","","","142.20","LF","","","24.00","3412.92","","","0.00","24.00","3412.92","Evan Ramsey","4/14/2026 8:48:59 AM","Evan Ramsey","4/14/2026 8:52:55 AM","Default"
"  KV Brackets","49","EA","49.00","","","","14.00","686.00","","0.00","0.00","14.00","686.00","Evan Ramsey","4/14/2026 8:48:59 AM","Evan Ramsey","4/14/2026 9:32:01 AM","Default"
"    KV Brackets","","","49.00","EA","","","14.00","686.00","","","0.00","14.00","686.00","Evan Ramsey","4/14/2026 8:48:59 AM","Evan Ramsey","4/14/2026 8:48:59 AM","Default"
"Open Treatment","45.30","","25.83","","","","","2540.80","","","0.00","","2540.80","Evan Ramsey","4/14/2026 8:59:45 AM","Evan Ramsey","4/14/2026 9:01:39 AM","Default"
"  Bench","19.47","FT","","","","","","","","","","","","Evan Ramsey","4/14/2026 9:00:02 AM","Evan Ramsey","4/14/2026 9:01:00 AM","Default"
"  C-Top w/4"" Splash, 25.5""-33""d","11.41","FT","11.41","","","","55.00","627.73","","0.00","0.00","55.00","627.73","Evan Ramsey","4/14/2026 9:02:01 AM","Evan Ramsey","4/14/2026 9:02:01 AM","Default"
